Dzien Miesiac Rok Godzina Minuta  Cisnienie Temperatura
29 11 18 22 4  1024.25 25.75
29 11 18 22 39  1024.25 25.75
30 11 18 1 37  1024.25 25.75
30 11 18 16 57  1024.25 25.75
30 11 18 18 0  1024.25 25.75
30 11 18 19 0  996.59 24.53
30 11 18 19 30  996.64 24.73
30 11 18 20 2  996.30 24.79
30 11 18 20 8  996.29 24.88
30 11 18 20 8  996.31 24.92
30 11 18 20 8  996.34 24.93
30 11 18 20 9  996.33 24.92
30 11 18 20 9  996.34 24.93
30 11 18 20 10  996.30 24.93
30 11 18 20 10  996.29 24.94
30 11 18 20 10  996.32 24.93
30 11 18 20 18  996.28 24.80
30 11 18 20 24  996.22 24.73
30 11 18 20 27  996.10 24.75
30 11 18 20 27  996.15 24.75
30 11 18 20 29  996.19 24.75
30 11 18 20 30  996.15 24.74
30 11 18 21 0  995.89 24.35
30 11 18 21 6  995.91 24.41
30 11 18 21 30  995.58 24.55
30 11 18 21 34  995.55 24.61
30 11 18 21 42  1024.25 25.75
30 11 18 21 48  997.62 -8.81
30 11 18 22 0  997.69 -9.07
30 11 18 22 30  997.47 -9.31
30 11 18 22 32  997.46 -9.38
30 11 18 23 0  997.28 -9.84
30 11 18 23 30  996.85 -9.90
1 12 18 0 0  996.74 -10.01
1 12 18 0 30  996.31 -10.24
1 12 18 1 0  996.24 -10.86
1 12 18 1 30  996.00 -10.82
1 12 18 2 0  994.83 -11.46
1 12 18 2 30  994.59 -11.05
1 12 18 2 35  994.49 -11.38
1 12 18 3 0  0.00 -11.37
1 12 18 3 30  0.00 -11.37
1 12 18 3 57  0.00 -11.37
1 12 18 3 57  0.00 -11.37
1 12 18 4 0  0.00 -11.37
1 12 18 4 30  0.00 -11.37
1 12 18 5 0  0.00 -11.37
1 12 18 5 30  0.00 -11.37
1 12 18 6 0  0.00 -11.37
1 12 18 6 30  0.00 -11.37
1 12 18 7 0  0.00 -11.37
1 12 18 7 30  0.00 -11.37
1 12 18 8 0  0.00 -11.37
1 12 18 8 30  0.00 -11.37
1 12 18 9 0  0.00 -11.37
1 12 18 9 30  0.00 -11.37
1 12 18 10 0  0.00 -11.37
1 12 18 10 30  0.00 -11.37
1 12 18 10 40  0.00 -11.37
1 12 18 10 40  0.00 -11.37
1 12 18 10 41  992.51 -1.81
1 12 18 11 0  992.44 -0.40
1 12 18 11 30  992.32 3.42
1 12 18 11 40  992.40 3.86
1 12 18 11 40  992.26 4.42
1 12 18 11 40  992.28 4.39
1 12 18 11 40  992.28 4.39
1 12 18 11 40  992.25 4.43
1 12 18 11 40  992.25 4.43
1 12 18 11 40  992.20 4.39
1 12 18 11 40  992.25 4.43
1 12 18 11 40  992.25 4.43
1 12 18 11 40  992.21 4.43
1 12 18 11 40  992.21 4.43
1 12 18 11 40  992.21 4.43
1 12 18 11 40  992.22 4.49
1 12 18 11 40  992.22 4.49
1 12 18 11 40  992.22 4.49
1 12 18 11 40  992.23 4.51
1 12 18 11 40  992.23 4.51
1 12 18 11 40  992.23 4.51
1 12 18 11 40  992.23 4.51
1 12 18 11 40  992.33 4.58
1 12 18 11 40  992.30 4.60
1 12 18 11 40  992.30 4.60
1 12 18 11 44  992.25 3.99
1 12 18 11 44  992.30 4.02
1 12 18 11 44  992.30 4.02
1 12 18 11 44  992.30 4.02
